M1: OK 实际=RED 期望=RED | 前端堂食加一项（未在册）⇒ C4-① 红
M2: OK 实际=RED 期望=RED | 云函数种子改名（不在册 + 副本不一致）⇒ C4-②/C2-① 红
M3: OK 实际=RED 期望=RED | 原型副本漂移 ⇒ C2-① 红
M4: OK 实际=RED 期望=RED | 其他业务收入前端改名 ⇒ C3-① 红
M5: OK 实际=RED 期望=RED | 删唯一声明处标记 ⇒ C6-① 红（fail-closed）
M6: OK 实际=RED 期望=RED | 在册多写一个不存在项 ⇒ C4-③ 僵尸防腐红
M7: OK 实际=GREEN 期望=GREEN | 在册决策行换措辞 ⇒ 仍绿（不错杀）
M8: OK 实际=GREEN 期望=GREEN | 在册后端列表换顺序 ⇒ 仍绿（集合比对不看顺序）
M9: OK 实际=GREEN 期望=GREEN | 外卖（弱面）加平台 ⇒ 仍绿（只明示不判红）
M10: OK 实际=RED 期望=RED | 单源扩散 ⇒ C8-① 红

===== 变异回灌汇总 =====
M1: 实际 RED / 期望 RED | 前端堂食加一项（未在册）⇒ C4-① 红
M2: 实际 RED / 期望 RED | 云函数种子改名（不在册 + 副本不一致）⇒ C4-②/C2-① 红
M3: 实际 RED / 期望 RED | 原型副本漂移 ⇒ C2-① 红
M4: 实际 RED / 期望 RED | 其他业务收入前端改名 ⇒ C3-① 红
M5: 实际 RED / 期望 RED | 删唯一声明处标记 ⇒ C6-① 红（fail-closed）
M6: 实际 RED / 期望 RED | 在册多写一个不存在项 ⇒ C4-③ 僵尸防腐红
M7: 实际 GREEN / 期望 GREEN | 在册决策行换措辞 ⇒ 仍绿（不错杀）
M8: 实际 GREEN / 期望 GREEN | 在册后端列表换顺序 ⇒ 仍绿（集合比对不看顺序）
M9: 实际 GREEN / 期望 GREEN | 外卖（弱面）加平台 ⇒ 仍绿（只明示不判红）
M10: 实际 RED / 期望 RED | 单源扩散 ⇒ C8-① 红
异常 0 组 / 共 10 组
